Æò±Õ±â¿Â,Æò±Õ½Àµµ,Æò±ÕÇ³¼Ó,Ã¼°¨¿Âµµ,Æò±ÕÀü¿î·®,½Ã±º±¸,¿äÀÏ,Diff,SUM
8.899999619,68.5,1.600000024,8.374937117,6.9,19,1,6.299999715,255
8.699999809,69.59999847,1.700000048,8.0552318,6.9,20,1,6.299999715,725
8.100000381,46.79999924,1.600000024,7.472464002,6.9,21,1,7.80000019,484
8.399999619,66.59999847,2.599999905,7.021150352,6.9,22,1,5.599999429,507
8.699999809,66.5,0.699999988,9.350456418,6.9,23,1,6.000000475,323
7.900000095,70.5,1.5,7.350044454,6.9,24,1,6.60000038,345
8.600000381,70.09999847,0.400000006,9.979883804,2.4,1,2,7.800000189,993
8.899999619,72.19999695,0.600000024,9.769929277,2.4,2,2,8.599999905,637
8.5,75.59999847,0.699999988,9.136863986,2.4,3,2,9.700000285,441
7.5,80.69999695,0.899999976,7.698377395,2.4,4,2,6.900000095,1128
9,64,0.600000024,9.875684932,2.4,5,2,7.600000381,676
9.100000381,71.80000305,0.600000024,9.981440587,2.4,6,2,8.499999999,299
8.800000191,74,1.100000024,8.822213127,2.4,7,2,6.900000571,430
9.199999809,70.30000305,1,9.396926968,2.4,8,2,6.900000571,273
8.5,77.30000305,0.300000012,10.23361448,2.4,9,2,9.19999981,557
9,69.09999847,0.300000012,10.74041637,2.4,10,2,9.500000475,226
8.600000381,73.09999847,1.200000048,8.473679078,2.4,11,2,8.19999981,354
8.600000381,77.19999695,0.899999976,8.892384443,2.4,12,2,7.699999809,371
7.300000191,80.30000305,0.699999988,7.855308377,2.4,13,2,8.000000475,498
8.100000381,74,0.699999988,8.709679123,2.4,14,2,7.900000571,602
9,72.09999847,0.800000012,9.48953648,2.4,15,2,8.30000019,657
8.699999809,71.40000153,1,8.850429637,2.4,16,2,9.200000285,353
8.600000381,73.30000305,0.800000012,9.05866571,2.4,17,2,7.900000095,517
8.300000191,72.09999847,0.5,9.380041306,2.4,18,2,8.80000019,743
8.699999809,73.90000153,0.800000012,9.166382889,2.4,19,2,7.700000285,277
